Méta-thème,Thème,Code,Extrait
Apprentissage flexible,Apprentissage flexible,Apprentissage autonome et personnalisé,"Euh, par exemple, sur des cours de programmation tels que Python, bah on a un prof, on a un professeur bien sûr qui présente son module en une semaine, mais ce n’est pas en une semaine, c'est un temps relativement court pour apprendre pour apprendre ce langage de programmation. Du coup, on peut céder de chat GPT qui qui est l'intelligence artificielle, qui est dispo 24/24, c'est Jourge Russet et qui peut nous donner des exemples concrets"
Critique des sources,Critique des sources,Stratégie de vérification et de critique,"Euh mais aussi à côté, je fais des recherches sur internet pour les réponses ou les résultats qui me semblent un peu orientés ou un peu biaisés. Euh ouais, du coup, c'est comme cela que je procède."
Dépendance numérique,Dépendance numérique,Dépendance à la technologie,"je me décrirai comme un peu un technophile. J'aime beaucoup tout ce qui est tout ce qui est attaché et dans ma filière en tout cas dans mon université Ouais. Étant donné que je suis un curseur data, c'est un peu c'est un peu tech"
Efficacité et productivité,Efficacité et productivité,Efficacité et gain de temps,"c'es t vraiment une technologie qui nous permet de gagner du temps, d'être plus efficace dans nos dans nos études ou dans notre travail. Du coup, les pratiques d'apprentissage euh doivent être orienté vers ce sujet."
Formation IA nécessaire,Formation IA nécessaire,Formation à l'IA,"Euh faudra vraiment que tout euh toutes les personnes, tous les étudiants, tous les professionnels euh se forment à l'utilisation de chat GPT parce que enfin pas de chat GPT mais de l'intelligence artificielle de l'intelligence artificielle et une formation peut-être sur la manière de prompter, de communiquer avec cette technologie là"
Intégration IA quotidienne,Intégration IA quotidienne,Intégration stratégique de l'IA,"j'utilise dans mon quotidien, que ce soit dans dans le cadre de mes études ou dans le cadre professionnel, j'ai toujours un onglet chat GPT ouvert dans le sens où s’est devenu un outil indispensable et vraiment très très efficace"
Limites et améliorations,Limites et améliorations,Compensation des limites de l'IA,"on voit qu'il y a euh qu'il y a encore des améliorations à faire de ce côté-là concernant tout ce qui est questions et sujets mathématiques. Frustration sur des recherches plus approfondies. Si on doit faire des recherches très poussées, Chat GPT peut nous donner la base mais ne fera pas il y aura toujours un travail à faire de notre côté."
Optimisation du travail,Optimisation du travail,Gestion du temps et de la productivité,ça l'a modifié dans le sens où c'est un gain de temps considérable et j'ai des réponses qui sont beaucoup plus précises et je peux faire des tâches à côté qui sont qui sont plus chronophages ou bien qui demandent plus de compétences ou je dirais de ressources intellectuelles de mon côté
Questionnement IA,Questionnement IA,Critique de la fiabilité de l'IA,"Euh en effet, bah ce qui est intéressant maintenant, c'est qu'il y a beaucoup d'IA mis à part Chat GPT, beaucoup de sociétés ont lancé leur leur LLM. Du coup euh lorsque je demande, lorsque je pose une question, lorsque je travaille avec CHGPT, je fais en sorte aussi de travailler avec les autres les autres IA, d'autres sociétés notamment Mistral GR de X euh Dipsic."
Usage fonctionnel IA,Usage fonctionnel IA,Usage ciblé et délimité,"ça peut être pour de la pour de la recherche notamment sur nos projets de mémoire recherche ou ou euh inspiration quand on n'a pas d'inspiration sur des présentations par exemple ou bien sur tout ce qui est rédaction de rédaction de pitch, rédaction de euh ça peut être des rédactions d'offre commercial ou euh ou des multitudes de choses"
